abbr;time;rre150h0
SMA;201804150200;0.0
SMA;201804150300;0.0
SMA;201804150400;0.0
SMA;201804150500;0.0
SMA;201804150600;0.0
SMA;201804150700;0.0
SMA;201804150800;0.0
SMA;201804150900;0.0
SMA;201804151000;0.0
SMA;201804151100;0.0
SMA;201804151200;0.0
SMA;201804151300;0.0
SMA;201804151400;0.0
SMA;201804151500;0.0
SMA;201804151600;0.0
SMA;201804151700;0.0
SMA;201804151800;0.0
SMA;201804151900;0.0
SMA;201804152000;0.0
SMA;201804152100;0.0
SMA;201804152200;0.0
SMA;201804152300;0.0
SMA;201804160000;0.0
SMA;201804160100;0.0
SMA;201804160200;0.3
SMA;201804160300;0.0
SMA;201804160400;0.1
SMA;201804160500;0.2
SMA;201804160600;1.2
SMA;201804160700;0.1
SMA;201804160800;0.0
SMA;201804160900;0.0
SMA;201804161000;0.0
SMA;201804161100;0.0
SMA;201804161200;0.0
SMA;201804161300;0.0
SMA;201804161400;0.0
SMA;201804161500;0.0
SMA;201804161600;0.0
SMA;201804161700;0.0
SMA;201804161800;0.0
SMA;201804161900;0.0
SMA;201804162000;0.0
SMA;201804162100;0.0
SMA;201804162200;0.0
SMA;201804162300;0.0
SMA;201804170000;0.0
SMA;201804170100;0.0
SMA;201804170200;0.0
SMA;201804170300;0.0
SMA;201804170400;0.0
SMA;201804170500;0.0
SMA;201804170600;0.0
SMA;201804170700;0.0
SMA;201804170800;0.0
SMA;201804170900;0.0
SMA;201804171000;0.0
SMA;201804171100;0.0
SMA;201804171200;0.0
SMA;201804171300;0.0
SMA;201804171400;0.0
SMA;201804171500;0.0
SMA;201804171600;0.0
SMA;201804171700;0.0
SMA;201804171800;0.0
SMA;201804171900;0.0
SMA;201804172000;0.0
SMA;201804172100;0.0
SMA;201804172200;0.0
SMA;201804172300;0.0
SMA;201804180000;0.0
SMA;201804180100;0.0
SMA;201804180200;0.0
SMA;201804180300;0.0
SMA;201804180400;0.0
SMA;201804180500;0.0
SMA;201804180600;0.0
SMA;201804180700;0.0
SMA;201804180800;0.0
SMA;201804180900;0.0
SMA;201804181000;0.0
SMA;201804181100;0.0
SMA;201804181200;0.0
SMA;201804181300;0.0
SMA;201804181400;0.0
SMA;201804181500;0.0
SMA;201804181600;0.0
SMA;201804181700;0.0
SMA;201804181800;0.0
SMA;201804181900;0.0
SMA;201804182000;0.0
SMA;201804182100;0.0
SMA;201804182200;0.0
SMA;201804182300;0.0
SMA;201804190000;0.0
SMA;201804190100;0.0
SMA;201804190200;0.0
SMA;201804190300;0.0
SMA;201804190400;0.0
SMA;201804190500;0.0
